gene_name,sample_name,gene_family,drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
adef,sample-11,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,97.8302,42.97,Phocaeicola dorei (chromosome),,,,,10000000,0,0
bifidobacterium adolescentis rpob mutants conferring resistance to rifampicin,sample-11,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,81,56.47,1.14,Bifidobacterium longum (chromosome): 4; ,10000000,15.68,0.22
cbla-1,sample-11,CblA beta-lactamase,cephalosporin,antibiotic inactivation,protein homolog,0,,,,,9,95.51,1.38,,10000000,1.74,0.27
cfxa2,sample-11,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,27,71.43,3.39,,10000000,5.23,0.66
cfxa6,sample-11,CfxA beta-lactamase,cephamycin,antibiotic inactivation,protein homolog,0,,,,,3,21.29,0.15,,10000000,0.58,0.03
cgb-1,sample-11,CGB beta-lactamase,carbapenem; cephalosporin; penam,antibiotic inactivation,protein homolog,0,,,,,1,2.47,0.02,,10000000,0.19,0
dfrf,sample-11,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement,protein homolog,0,,,,,2,56.77,0.57,,10000000,0.39,0.11
tem-31,sample-11,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation,protein homolog,0,,,,,2,34.49,0.35,,10000000,0.39,0.07
tet(32),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,5,27.03,0.23,,10000000,0.97,0.04
tet(40),sample-11,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,16,69.62,1.63,,10000000,3.1,0.32
tet(o),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,1,Strict,99.8438,98.59,Campylobacter (chromosome or plasmid),107,98.7,8,Streptococcus suis (chromosome): 1; Campylobacter (chromosome or plasmid): 2; ,10000000,20.71,1.55
tet(o/32/o),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,7,12.5,0.55,,10000000,1.35,0.11
tet(o/m/o),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,2,10.05,0.16,,10000000,0.39,0.03
tet(o/w),sample-11,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,protein homolog,0,,,,,11,33.23,0.84,,10000000,2.13,0.16
